order_id,customer_id,order_date,status
1,82,2025-07-26 09:24:00,Completed
2,1107,2025-09-17 20:32:00,Processing
3,997,2023-08-11 16:05:00,Completed
4,343,2025-02-07 18:40:00,Completed
5,1404,2024-04-18 21:44:00,Processing
6,1325,2023-03-01 15:45:00,Completed
7,78,2023-08-26 12:35:00,Completed
8,1178,2023-07-13 15:40:00,Processing
9,887,2024-08-18 08:41:00,Cancelled
10,130,2025-02-12 22:32:00,Completed
11,594,2025-08-10 20:59:00,Processing
12,782,2024-01-16 10:34:00,Completed
13,280,2025-09-21 10:19:00,Completed
14,23,2025-03-04 08:00:00,Cancelled
15,1222,2024-02-10 11:47:00,Completed
16,434,2024-11-05 10:11:00,Completed
17,1264,2024-08-22 20:36:00,Completed
18,1125,2024-02-10 18:04:00,Completed
19,202,2023-10-11 13:08:00,Completed
20,205,2024-04-11 15:28:00,Completed
21,1263,2025-08-19 17:23:00,Completed
22,878,2023-08-26 11:45:00,Processing
23,567,2024-09-16 15:28:00,Completed
24,626,2024-03-21 17:05:00,Completed
25,287,2025-08-24 09:57:00,Completed
26,1039,2025-09-25 17:13:00,Completed
27,1130,2024-11-16 18:49:00,Completed
28,750,2024-09-05 15:32:00,Cancelled
29,186,2024-08-22 11:54:00,Cancelled
30,1402,2023-03-15 10:11:00,Cancelled
31,1159,2025-03-24 19:30:00,Completed
32,83,2023-04-03 12:23:00,Completed
33,88,2025-09-13 15:58:00,Processing
34,96,2023-06-04 19:33:00,Completed
35,540,2025-03-13 18:24:00,Completed
36,1204,2025-02-17 12:24:00,Completed
37,1058,2024-09-16 20:30:00,Cancelled
38,14,2025-10-06 11:04:00,Cancelled
39,1318,2024-08-06 13:38:00,Completed
40,1354,2023-06-24 09:30:00,Processing
41,982,2023-07-01 11:02:00,Completed
42,1175,2025-08-19 10:03:00,Completed
43,529,2023-07-20 17:40:00,Completed
44,1474,2025-05-03 11:28:00,Cancelled
45,966,2024-09-20 10:50:00,Cancelled
46,373,2025-05-06 19:43:00,Completed
47,929,2025-04-13 14:08:00,Completed
48,34,2023-11-22 14:52:00,Completed
49,1241,2023-08-26 16:32:00,Completed
50,191,2024-12-18 21:00:00,Processing
51,1070,2024-08-23 16:27:00,Completed
52,988,2024-08-14 10:16:00,Processing
53,477,2023-09-09 11:00:00,Completed
54,1184,2025-08-13 18:13:00,Completed
55,838,2024-09-21 17:16:00,Completed
56,1098,2024-12-09 18:25:00,Completed
57,847,2025-10-06 13:35:00,Cancelled
58,991,2024-12-12 20:45:00,Processing
59,283,2025-08-15 20:44:00,Completed
60,206,2023-06-26 16:39:00,Completed
61,330,2024-01-26 09:52:00,Completed
62,966,2025-02-09 11:23:00,Completed
63,1248,2023-07-20 18:33:00,Completed
64,1458,2025-08-21 15:28:00,Completed
65,414,2025-11-10 11:02:00,Cancelled
66,1046,2025-12-06 18:02:00,Completed
67,490,2025-08-03 12:49:00,Processing
68,724,2025-08-17 08:47:00,Completed
69,185,2025-09-12 21:17:00,Completed
70,1242,2023-07-19 08:16:00,Completed
71,834,2025-08-17 12:21:00,Completed
72,1052,2024-12-09 19:28:00,Processing
73,1154,2024-06-25 15:43:00,Processing
74,1202,2023-05-03 14:40:00,Completed
