order_item_id,order_id,product_key,quantity,price_at_purchase
1,1,72,3,123267.08
2,1,214,2,146526.82
3,2,395,3,124226.7
4,2,246,3,155067.32
5,2,358,2,178348.09
6,2,206,1,126816.6
7,3,133,3,75132.07
8,3,143,1,187703.44
9,3,98,3,185562.02
10,3,259,1,267553.37
11,4,214,3,146526.82
12,4,90,1,223688.38
13,4,125,0,191668.58
14,4,105,2,171327.72
15,5,198,3,169603.47
16,5,120,3,146292.08
17,5,276,2,23971.0
18,6,330,2,53581.46
19,6,230,2,99627.55
20,6,255,2,120947.33
21,7,15,1,143957.3
22,8,219,2,194332.13
23,9,387,1,60812.16
24,9,133,2,75132.07
25,9,236,3,182898.47
26,10,220,1,107337.51
27,10,323,3,27190.12
28,11,93,1,85322.12
29,12,13,3,184860.08
30,12,244,2,8123.81
31,13,78,2,197988.01
32,13,345,2,3634.44
33,13,187,3,48772.65
34,14,62,1,47437.51
35,15,98,2,185562.02
36,15,331,3,137555.3
37,15,234,2,134417.8
38,15,319,2,38726.82
39,16,17,2,187307.96
40,17,203,1,160317.19
41,17,195,2,92189.19
42,17,52,1,193193.24
43,18,265,1,39650.36
44,18,152,3,184290.03
45,18,93,3,85322.12
46,19,42,1,122256.45
47,19,260,1,213378.12
48,19,294,3,193211.61
49,19,375,3,31576.35
50,20,155,1,48337.64
51,21,118,1,88084.04
52,21,183,3,182249.1
53,21,257,3,7609.62
54,21,212,1,167662.05
55,22,293,3,115807.73
56,22,264,3,92901.53
57,22,234,2,134417.8
58,23,108,1,227064.66
59,24,151,3,137308.73
60,24,312,3,213856.86
61,24,347,2,137186.09
62,24,59,1,161932.27
63,25,342,3,176733.9
64,25,116,1,93394.61
65,25,19,1,146352.25
66,26,242,1,51496.32
67,26,310,1,170497.76
68,26,55,3,63638.65
69,26,67,3,97379.9
70,27,167,1,17448.92
71,28,302,3,127736.26
72,29,164,3,73095.05
73,29,385,3,237554.64
74,30,139,3,95013.28
75,31,19,1,146352.25
76,32,332,2,247371.04
77,32,325,2,76663.93
78,33,302,2,127736.26
79,34,338,2,90146.38
80,34,377,3,127215.62
81,34,309,3,108356.35
82,35,43,1,114531.37
83,35,295,2,154948.76
84,36,130,1,169159.49
85,36,125,1,191668.58
